Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code,Purchase Unit Code,Cost,Price,Alert Quantity,Tax Rate,Tax Method,Image,Sub category Code,Product Variants,Product Custom Field 1,Product Custom Field 2,Product Custom Field 3,Product Custom Field 4,Product Custom Field 5,Product Custom Field 6,Quantity
TAT-2950,TAT-2950,code128,B PLUS,TAT,PCS,PCS,PCS,2950,2950,1,,Inclusive,afd26e8cf8b9d4702e3cf7f9a73223fb.png,,,,,,,,,0
TAT-29550,TAT-29550,code128,B PLUS,TAT,PCS,PCS,PCS,29550,29550,1,,Inclusive,01fbe03aefa7e64ae60ba8a98b97d164.png,,,,,,,,,0
TAT-29650,TAT-29650,code128,B PLUS,TAT,PCS,PCS,PCS,29650,29650,1,,Inclusive,4cc21829dc1dfb3e521d4b71e70ed723.png,,,,,,,,,0
TAT-29750,TAT-29750,code128,B PLUS,TAT,PCS,PCS,PCS,29750,29750,1,,Inclusive,67f47bf7865e2d45403b354f54d4b6ad.png,,,,,,,,,0
TAT-29850,TAT-29850,code128,B PLUS,TAT,PCS,PCS,PCS,29850,29850,1,,Inclusive,3e50dafa1818c9783eaad0a84e42ada1.png,,,,,,,,,0
TAT-29950,TAT-29950,code128,B PLUS,TAT,PCS,PCS,PCS,29950,29950,1,,Inclusive,ba86660c1a13b60752d26c458fc125ea.png,,,,,,,,,0
TAT-30050,TAT-30050,code128,B PLUS,TAT,PCS,PCS,PCS,30050,30050,1,,Inclusive,c472a0abac381fca11a530866a597b90.png,,,,,,,,,0
TAT-3050,TAT-3050,code128,B PLUS,TAT,PCS,PCS,PCS,3050,3050,1,,Inclusive,d98d9a454511e31d02d29e41878f5745.png,,,,,,,,,0
TAT-3150,TAT-3150,code128,B PLUS,TAT,PCS,PCS,PCS,3150,3150,1,,Inclusive,6917bef5f647c8ebc5389821e811dc7e.png,,,,,,,,,0
TAT-3250,TAT-3250,code128,B PLUS,TAT,PCS,PCS,PCS,3250,3250,1,,Inclusive,ed4a1809a5e6724f06bf25ee194f695f.png,,,,,,,,,0
TAT-3350,TAT-3350,code128,B PLUS,TAT,PCS,PCS,PCS,3350,3350,1,,Inclusive,05db5c6b215a02a95dee27ce454b765c.png,,,,,,,,,0
TAT-3450,TAT-3450,code128,B PLUS,TAT,PCS,PCS,PCS,3450,3450,1,,Inclusive,d868b67b249e19171b20ecc74abd6034.png,,,,,,,,,0
TAT-350,TAT-350,code128,B PLUS,TAT,PCS,PCS,PCS,350,350,10,,Inclusive,8e0a9a0a5cc4679cc5b74ca35bd747a2.png,,,,,,,,,0
TAT-3550,TAT-3550,code128,B PLUS,TAT,PCS,PCS,PCS,3550,3550,1,,Inclusive,7d8aed7970c09090c12cc7066d7435db.png,,,,,,,,,0
TAT-3650,TAT-3650,code128,B PLUS,TAT,PCS,PCS,PCS,3650,3650,0,,Inclusive,7b3db778ebc0e78879286a2518b110fa.png,,,,,,,,,0
TAT-3750,TAT-3750,code128,B PLUS,TAT,PCS,PCS,PCS,3750,3750,0,,Inclusive,50204ccb65c35dee3a50013d49240bda.png,,,,,,,,,0
TAT-3850,TAT-3850,code128,B PLUS,TAT,PCS,PCS,PCS,3850,3850,1,,Inclusive,d7f3b062f0f9f8bf93d35a93e4df38a7.png,,,,,,,,,0
TAT-3950,TAT-3950,code128,B PLUS,TAT,PCS,PCS,PCS,3950,3950,1,,Inclusive,c2487a37ae8067512a821e0343e8a9ae.png,,,,,,,,,0
TAT-4050,TAT-4050,code128,B PLUS,TAT,PCS,PCS,PCS,4050,4050,1,,Inclusive,6822d9b3d7d777000916d3efd0bac474.png,,,,,,,,,0
TAT-4150,TAT-4150,code128,B PLUS,TAT,PCS,PCS,PCS,4150,4150,1,,Inclusive,0e58449320a8358b93c8710aa9c88ff7.png,,,,,,,,,0
TAT-4250,TAT-4250,code128,B PLUS,TAT,PCS,PCS,PCS,4250,4250,1,,Inclusive,c8fffae698fdae9c3b74ca6937e5d1a7.png,,,,,,,,,0
TAT-4350,TAT-4350,code128,B PLUS,TAT,PCS,PCS,PCS,4350,4350,1,,Inclusive,88d04ccf09adf3f18c3cda40734da537.png,,,,,,,,,0
TAT-4450,TAT-4450,code128,B PLUS,TAT,PCS,PCS,PCS,4450,4450,1,,Inclusive,861502570714925d4b725617548ced8e.png,,,,,,,,,0
TAT-450,TAT-450,code128,B PLUS,TAT,PCS,PCS,PCS,450,450,10,,Inclusive,022103546271a57f73b877035e7688a8.png,,,,,,,,,0
TAT-4550,TAT-4550,code128,B PLUS,TAT,PCS,PCS,PCS,4550,4550,1,,Inclusive,4b48e251430cae984e935c06674e28b3.png,,,,,,,,,0
TAT-4650,TAT-4650,code128,B PLUS,TAT,PCS,PCS,PCS,4650,4650,1,,Inclusive,1ad0c3c43fb5a1e1223e5b84c82ee16e.png,,,,,,,,,0
TAT-4750,TAT-4750,code128,B PLUS,TAT,PCS,PCS,PCS,4750,4750,1,,Inclusive,59bffc7dd2b00157402ea4e07ede4b1e.png,,,,,,,,,0
TAT-4850,TAT-4850,code128,B PLUS,TAT,PCS,PCS,PCS,4850,4850,1,,Inclusive,cda11b070dfa9abbb5c1a6f82b2384d0.png,,,,,,,,,0
TAT-4950,TAT-4950,code128,B PLUS,TAT,PCS,PCS,PCS,4950,4950,1,,Inclusive,1e27a85119d84d19519596bd2be462aa.png,,,,,,,,,0
TAT-5050,TAT-5050,code128,B PLUS,TAT,PCS,PCS,PCS,5050,5050,1,,Inclusive,579beb5d3e9c2ce48a54be85269be210.png,,,,,,,,,0
TAT-5150,TAT-5150,code128,B PLUS,TAT,PCS,PCS,PCS,5150,5150,1,,Inclusive,229b4f7c139e79014e2196d692762c79.png,,,,,,,,,0
TAT-5250,TAT-5250,code128,B PLUS,TAT,PCS,PCS,PCS,5250,5250,1,,Inclusive,18d624b8460425ea5da98dc990d744c5.png,,,,,,,,,0
TAT-5350,TAT-5350,code128,B PLUS,TAT,PCS,PCS,PCS,5350,5350,1,,Inclusive,aaee9cf6961e1232c28fbdbfd2f4c0a7.png,,,,,,,,,0
TAT-5450,TAT-5450,code128,B PLUS,TAT,PCS,PCS,PCS,5450,5450,1,,Inclusive,d166a8896e05a7e7309a64a61d5cf6f9.png,,,,,,,,,0
TAT-550,TAT-550,code128,B PLUS,TAT,PCS,PCS,PCS,550,550,10,,Inclusive,27b7b9995fd987e445cde2d1c48b1a42.png,,,,,,,,,0
TAT-5550,TAT-5550,code128,B PLUS,TAT,PCS,PCS,PCS,5550,5550,1,,Inclusive,8c5bed26ceab590e3fb52e910d023b0e.png,,,,,,,,,0
TAT-5650,TAT-5650,code128,B PLUS,TAT,PCS,PCS,PCS,5650,5650,1,,Inclusive,7b2d90dcd679e07d46bc57a819a49138.png,,,,,,,,,0
TAT-5750,TAT-5750,code128,B PLUS,TAT,PCS,PCS,PCS,5750,5750,1,,Inclusive,8fc6aa8e2c1d0cf4004b57d60b3eb5c2.png,,,,,,,,,0
TAT-5850,TAT-5850,code128,B PLUS,TAT,PCS,PCS,PCS,5850,5850,1,,Inclusive,dfd74685f674a89ae81faf6212011c37.png,,,,,,,,,0
TAT-5950,TAT-5950,code128,B PLUS,TAT,PCS,PCS,PCS,5950,5950,1,,Inclusive,cda520d08e8a51b22c57b8f14ff0360d.png,,,,,,,,,0
TAT-6050,TAT-6050,code128,B PLUS,TAT,PCS,PCS,PCS,6050,6050,1,,Inclusive,bc9570bfe36be87f7b6ebaba19e6a7c8.png,,,,,,,,,0
TAT-6150,TAT-6150,code128,B PLUS,TAT,PCS,PCS,PCS,6150,6150,1,,Inclusive,9d85bfd391cc4425ed7d2144597cd5f9.png,,,,,,,,,0
TAT-6250,TAT-6250,code128,B PLUS,TAT,PCS,PCS,PCS,6250,6250,1,,Inclusive,59d35ebaf62986cc85777f79fae0ae1b.png,,,,,,,,,0
TAT-6350,TAT-6350,code128,B PLUS,TAT,PCS,PCS,PCS,6350,6350,1,,Inclusive,552ce22acf401b332629130ffb608cc4.png,,,,,,,,,0
TAT-6450,TAT-6450,code128,B PLUS,TAT,PCS,PCS,PCS,6450,6450,1,,Inclusive,ac4b8c486cca3c6183a0fe69934fbfe6.png,,,,,,,,,0
TAT-650,TAT-650,code128,B PLUS,TAT,PCS,PCS,PCS,650,650,10,,Inclusive,66bfc5eeb33995d995dae359b2a6a871.png,,,,,,,,,0
TAT-6550,TAT-6550,code128,B PLUS,TAT,PCS,PCS,PCS,6550,6550,1,,Inclusive,a6c46baa423a637adf02bc4d998a7c23.png,,,,,,,,,0
TAT-6650,TAT-6650,code128,B PLUS,TAT,PCS,PCS,PCS,6650,6650,1,,Inclusive,49e361e524dfd3e7ff56a75a35ebfbe4.png,,,,,,,,,0
TAT-6750,TAT-6750,code128,B PLUS,TAT,PCS,PCS,PCS,6750,6750,1,,Inclusive,c8e8dde176d1296f9b316bb9bece9332.png,,,,,,,,,0
TAT-6850,TAT-6850,code128,B PLUS,TAT,PCS,PCS,PCS,6850,6850,1,,Inclusive,8cef0bcb98f91bd04c8820b45b2774a3.png,,,,,,,,,0
TAT-6950,TAT-6950,code128,B PLUS,TAT,PCS,PCS,PCS,6950,6950,1,,Inclusive,ae1d997e2fafd516f8243a0c7302464f.png,,,,,,,,,0
TAT-7050,TAT-7050,code128,B PLUS,TAT,PCS,PCS,PCS,7050,7050,1,,Inclusive,f1873a4bfcaa2f50776016e6cdef206e.png,,,,,,,,,0
TAT-7150,TAT-7150,code128,B PLUS,TAT,PCS,PCS,PCS,7150,7150,1,,Inclusive,5dae6b0e9210d648c0eef0ae5d404349.png,,,,,,,,,0
TAT-7250,TAT-7250,code128,B PLUS,TAT,PCS,PCS,PCS,7250,7250,1,,Inclusive,edfea0b59ace54145669e85b4f511b0f.png,,,,,,,,,0
